index	language	words	percentage
sw	17305	370708	4.668094564994551
mi	15725	370887	4.239835852968694
tl	11506	359100	3.20412141464773
zu	9998	370650	2.6974234452987993
ny	7956	370479	2.147490141141603
zh	7667	359679	2.131622919325287
jv	5654	353174	1.60091059930799
ha	5558	156965	3.540916764883891
hm	4868	315920	1.5408964294758167
ca	4815	371470	1.296201577516354
tr	4806	370702	1.2964591504766632
ms	4657	311572	1.4946785975633239
es	4554	373648	1.218794159208667
rw	4459	208294	2.140724168723055
yo	4212	370799	1.1359253935420537
ug	4029	296285	1.3598393438749852
sq	3945	351635	1.1219019722155075
xh	3937	204997	1.9205159099889266
my	3380	370110	0.91324200913242
si	3348	221598	1.5108439606855657
ta	3174	339027	0.9362086205523454
pa	2918	297298	0.9815067709839957
fr	2827	376859	0.7501479333119283
sn	2819	272588	1.0341614451113035
hr	2794	370584	0.753945124452216
tg	2673	370110	0.7222177190564967
cs	2480	370481	0.6694000502050037
en	2423	370110	0.6546702331739213
tk	2367	370182	0.6394152065740635
kk	2271	293190	0.7745830348920495
vi	2241	370833	0.6043151499462022
am	2237	301494	0.7419716478603223
it	2140	373645	0.5727361533005928
ro	2008	323069	0.6215390520291331
id	1880	107637	1.7466112953724091
uk	1805	370237	0.487525557953419
pl	1784	370812	0.4811063288135227
mn	1498	189293	0.7913657662988066
ml	1484	370194	0.4008708947200657
uz	1215	161558	0.7520518946755964
so	1065	141827	0.750914846961439
bn	931	345436	0.26951446867147605
ru	847	348271	0.24320141499005082
te	707	269873	0.26197507716592616
th	701	136988	0.5117236546266826
hu	700	267490	0.261692025870126
ti	682	290988	0.2343739260725528
hi	641	359065	0.17851920961385823
lo	620	74654	0.8304980309159591
nl	548	279832	0.19583178478515684
mt	456	255238	0.17865678308088923
pt	455	372584	0.12212011251154103
de	256	398335	0.064267513525048
ur	120	370110	0.03242279322363622
km	60	370110	0.01621139661181811
sv	58	371435	0.015615114353790031
ky	33	90568	0.036436710537938344
mr	21	45365	0.046291193651493444
ar	4	55741	0.007176046357259468
